variable name,title,query_engine,variable name_query_result,query_text_result,node_id_result,variable name_result,title_result,element type_result,definition_result,short description_result,datatype_result,input restriction_result,minimum value_result,maximum value_result,data element concept identifiers_result,data element concept names_result,permissible values_result,permissible value descriptions_result,permissible value concept identifiers_result,permissible value concept names_result,unit of measure_result,preferred question text_result,creation date_result,last change date_result,score_result
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,b301bb50-92a7-419c-9d43-4e987c8e25a6,VLIIRecep_SorW,Receptive SorW,Unique Data Element,Receptive SorW,Receptive SorW,Alphanumeric,Free-Form Entry,,,,,,,,,,,12/1/2020,11/24/2021,0.06529305
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,116831cb-7f80-45cb-8d56-2c7a92f54f3c,VLIIRecep_AgeEquiv,Receptive Age Equiv,Unique Data Element,Receptive Age Equiv,Receptive Age Equiv,Alphanumeric,Free-Form Entry,,,,,,,,,,,12/1/2020,11/24/2021,0.011990494
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,5d2c38a6-6521-49f3-b3af-404f1da26843,AMNARTPronounceBlatantInd,American National Adult Reading Test (AmNART) - pronounce blatant indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""blatant"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""blatant"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,blatant,4/1/2014,6/22/2016,0.011206428
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,696be673-3889-4a47-90a1-205d8a24d5c8,ConsentAttemptTime,Time of consent attempt,Unique Data Element,Time of consent attempt,Time of consent attempt,Alphanumeric,Free-Form Entry,,,,,,,,,,Time of consent attempt,,3/16/2015,0.010473014
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,f8d95806-b5c4-4831-a7ac-87931da12c4e,TransientIschemicAttckInd,Transient ischemic attack indicator,Unique Data Element,Indicator of whether or not the subject had a transient ischemic attack.,Indicator of whether or not the subject had a transient ischemic attack.,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Unknown|Yes,No|Unknown|Yes,,,,,9/16/2015,6/28/2016,0.0074011963
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,2868c86c-9e83-45f0-b83a-80306639fec3,FocalSwellTempRtInd,Focal swelling temporal right indicator,Unique Data Element,The subject had focal swelling temporal right indicator,The subject had focal swelling temporal right indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,,,6/16/2015,0.00563472
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,8303b8bf-f5e3-4c86-8936-db22f888c7a4,AmnsType,Amnesia type,Common Data Element,Type of amnesia the subject experienced.,Type of amnesia the subject experienced.,Alphanumeric,Single Pre-Defined Value Selected,,,,,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,Anterograde|Both anterograde and retrograde|Dissociative amnesia|Generalized amnesia|Infantile amnesia|Localized amnesia|N/A|Retrograde|Selective amnesia|Systematized amnesia|Transient Global Amnesia (TGA)|Unknown|Wernike-Korsakoff's psychosis,,,,,7/27/2015,5/14/2019,0.0055818227
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,39fbca61-1425-4698-b165-982bf60124a7,RememberHappenedInd,RememberHappenedIndicator,Unique Data Element,Indicator that the participant can remember what happened,Indicator that the participant can remember what happened,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,No|Yes,,,,Does the participant remember what happened?,,2/19/2015,0.00536456
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,164fd65c-6f68-4d1d-a931-6fdc5b82bae2,PstTraumAmnsDurationVal,Post traumatic amnesia duration of time value,Common Data Element,Duration (in minutes)  of post-traumatic amnesia- both retrograde and anterograde - the participant/subject experienced.,Duration (in minutes)  of post-traumatic amnesia- both retrograde and anterograde - the participant/subject experienced.,Numeric Values,Free-Form Entry,0,,,,,,,,,Duration of post-traumatic amnesia (PTA) the participant/subject experienced.,3/31/2016,3/3/2020,0.0053444244
AdmTemp,AdmTemp,title,AdmTemp,AdmTemp,46d83b77-90ad-454d-b2db-c1d544e8c80e,PstTraumtcAmnsInd,Post traumatic amnesia indicator,Common Data Element,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Indicator for whether the participant/subject experienced any period of post-traumatic amnesia - both retrograde and anterograde,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Suspected|Unknown|Yes,No|Suspected|Unknown|Yes,,,,Did participant/subject experience post-traumatic amnesia?,,7/10/2023,0.0053353147
Acrnym,Acronym,title,Acrnym,Acronym,8486ef10-ce79-4b50-a995-e36534584c33,AllelID,Allele identifier,Common Data Element,Allele specific information,Allele specific information,Alphanumeric,Free-Form Entry,,,,,,,,,,Allele specific information,6/28/2019,7/23/2019,0.09228984
Acrnym,Acronym,title,Acrnym,Acronym,e4ed304c-28ae-44d4-89cf-ec6e01eb391c,AnalyteNam,Analyte name,Unique Data Element,The molecule or molecular entity that is measured in an analytical procedure or assay.,The molecule or molecular entity that is measured in an analytical procedure or assay.,Alphanumeric,Free-Form Entry,,,,,,,,,,,3/14/2016,10/26/2016,0.04020668
Acrnym,Acronym,title,Acrnym,Acronym,33775122-b485-49c1-a3ff-5943ceae3a4d,AMNARTPronounceEpitomeInd,American National Adult Reading Test (AmNART) - pronounce epitome indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""epitome""","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""epitome""",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,epitome,4/1/2014,6/22/2016,0.024489854
Acrnym,Acronym,title,Acrnym,Acronym,55a21c1d-942f-4706-958d-4d9de29258c6,AnalyteAnnotatnIDs,Analyte annotation identifier(s),Unique Data Element,"The list of analyte annotation IDs contains references to well-known public resources such as dbGaP, HGNC, NCBI, OMIM, UniProt, or other Proprietary Database. See Guidelines for more details","The list of analyte annotation IDs contains references to well-known public resources such as dbGaP, HGNC, NCBI, OMIM, UniProt, or other Proprietary Database. See Guidelines for more details",Alphanumeric,Free-Form Entry,,,,,,,,,,"Analyte annotation identifier(s) The list of analyte annotation IDs contains references to well-known public resources such as dbGaP, HGNC, NCBI, OMIM, UniProt. See Guidelines for more details
",3/14/2016,6/28/2019,0.023511784
Acrnym,Acronym,title,Acrnym,Acronym,3b19042d-849a-400a-8d02-97dabebcfdc1,AMNARTPronounceHyperboleInd,American National Adult Reading Test (AmNART) - pronounce hyperbole indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""hyperbole"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""hyperbole"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,hyperbole,4/1/2014,6/22/2016,0.022747546
Acrnym,Acronym,title,Acrnym,Acronym,0c63af2a-dff4-4ad3-82dd-4d64905b146f,AMNARTPronounceDepotInd,American National Adult Reading Test (AmNART) - pronounce depot indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""depot""","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""depot""",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,depot,4/1/2014,6/22/2016,0.017633127
Acrnym,Acronym,title,Acrnym,Acronym,6b907668-8f70-433d-81e3-68f84d33888c,AMNARTPronounceFacadeInd,American National Adult Reading Test (AmNART) - pronounce facade indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""facade"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""facade"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,facade,4/1/2014,6/22/2016,0.0159074
Acrnym,Acronym,title,Acrnym,Acronym,f923bfb2-de00-4f06-b872-2dcf0cedf153,AMNARTPronouncePrelateInd,American National Adult Reading Test (AmNART) - pronounce prelate indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""prelate"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""prelate"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,prelate,4/1/2014,6/22/2016,0.012852417
Acrnym,Acronym,title,Acrnym,Acronym,d12273d7-b0af-4f7b-96ac-2a7be36ef87a,AMNARTPronounceBouquetInd,American National Adult Reading Test (AmNART) - pronounce bouquet indicator,Common Data Element,"American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""bouquet"".","American National Adult Reading Test (AmNART) determining ability to correctly pronounce the word ""bouquet"".",Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Yes,word pronounced incorrectly|word pronounced correctly,,,,bouquet,4/1/2014,6/22/2016,0.012824661
Acrnym,Acronym,title,Acrnym,Acronym,32026224-f7c0-473b-9b35-0126a588de50,GagInd,Gag Indicator,Unique Data Element,"Gag Normal, Abnormal, Not Tested indicator.","Gag Normal, Abnormal, Not Tested indicator.",Numeric Values,Single Pre-Defined Value Selected,,,,,1|2|3|-4|-5,Normal|Abnormal|Not Tested|Missing|N/A,,,,,6/24/2014,6/24/2014,0.009615163
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,b6029361-6b07-42ec-bccf-64067af1815a,MaxAISISSAbdomPelvContScore,"Abbreviated Injury Scale (AIS, ISS) - Abdomen - pelvic content injury max injury score",Common Data Element,"The highest (i.e. most severe) severity score for the abdomen/pelvic content, as defined in Abbreviated Injury Scale (AIS) based on Injury Severity Scale (ISS) body region classification.","The highest (i.e. most severe) severity score for the abdomen/pelvic content, as defined in Abbreviated Injury Scale (AIS) based on Injury Severity Scale (ISS) body region classification.",Numeric Values,Single Pre-Defined Value Selected,,,,,0|1|2|3|4|5|6,No injury severity|Minor|Moderate|Serious|Severe|Critical|Maximal,,,, Abbreviated Injury Scale - Abdomen - pelvic content injury max injury score,9/7/2017,3/27/2020,0.7409313
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,78e59c04-5e99-4d20-a1a9-3706e4fc772b,AISAbdomenInjSclModProTECT,Abbreviated Injury Scale (AIS) - Abdomen injury scale - mod ProTECT,Unique Data Element,"Scale to rate the level of the subject's abdomen injury, as used for the Abbreviated Injury Scale (AIS) - mod ProTECT","Scale to rate the level of the subject's abdomen injury, as used for the Abbreviated Injury Scale (AIS) - mod ProTECT",Numeric Values,Single Pre-Defined Value Selected,,,,,0|1|2|3|4|5|6,No injury|Minor injury|Moderate injury|Serious injury|Severe injury|Critical injury|Unsurvivable injury,,,,The subject's abdomen injury severity scale score,,3/26/2015,0.7366489
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,8f22df30-412f-4033-82ed-7b6cda2285d2,AbdomComprtmntSyndrInd,Abdominal Compartment Syndrome (ACS) indicator,Unique Data Element,Complications GI/Abdomen: Abdominal Compartment Syndrome Indicator,Complications GI/Abdomen: Abdominal Compartment Syndrome Indicator,Alphanumeric,Single Pre-Defined Value Selected,,,,,No|Unknown|Yes,No|Unknown|Yes,,,,,8/5/2014,8/5/2014,0.6496479
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,abcf259b-f532-488a-8465-0865bbe99506,AISInjuryCodeModAIM,Abbreviated Injury Scale (AIS) - Injury code - mod AIM,Unique Data Element,"Injury code, as part of the Abbreviated Injury Scale (AIS) - mod AIM","Injury code, as part of the Abbreviated Injury Scale (AIS) - mod AIM",Alphanumeric,Free-Form Entry,,,,,,,,,,,6/11/2015,7/13/2017,0.5640956
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,5fcfd1ea-575c-4adf-a29b-b8b7555e4d5d,AISInjurySeverityScore,Abbreviated injury scale (AIS) - Injury severity score,Common Data Element,"An injury severity score (AIS code), as part of Abbreviated injury scale (AIS) code","An injury severity score (AIS code), as part of Abbreviated injury scale (AIS) code",Numeric Values,Single Pre-Defined Value Selected,,,,,1|2|3|4|5|6|9,1= minor|2= moderate|3=serious|4=severe|5=critical|6= maximal (currently untreatable)|9=unknown severity,,,,AIS Injury severity,9/7/2017,4/16/2018,0.5102701
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,d03d330f-fad7-4f1b-b3db-745c17978cc6,AISCode,Abbreviated injury scale (AIS) - Code,Common Data Element,Abbreviated injury scale (AIS) code,Abbreviated injury scale (AIS) code,Alphanumeric,Free-Form Entry,,,,,,,,,,AIS code,9/7/2017,3/27/2020,0.45179433
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,799a050b-1448-4e5f-9980-5e2e59e686ee,AISBodyRegionChapterCat,Abbreviated injury scale (AIS) - Body region category,Common Data Element,Category of body region assessed by Abbreviated Injury Scale (AIS),Category of body region assessed by Abbreviated Injury Scale (AIS),Alphanumeric,Single Pre-Defined Value Selected,,,,,"Abdomen|External|Face|Head|Lower Extremity, Pelvis and Buttocks|Neck|Other Trauma|Spine|Thorax|Upper Extremity","5-Abdomen|9-External|2-Face|1-Head|7-Lower Extremity, Pelvis and Buttocks|3- Neck|0-Other Trauma|6-Spine|4-Thorax|8-Upper Extremity",,,,AIS body region/chapter,9/7/2017,4/16/2018,0.41127387
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,99dfb2fa-29b3-41a5-aab7-68e755c97a19,AbdomenExamStatus,Abdomen exam status,Unique Data Element,Status of participant/subject's abdomen exam.,Status of participant/subject's abdomen exam.,Alphanumeric,Single Pre-Defined Value Selected,,,,,Abnormal|Normal|Not Done,Abnormal|Normal|Not Done,,,,7.  Abdomen (liver/spleen),6/22/2015,7/2/2015,0.34004715
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,a1255098-59e9-45a4-9649-1abffde84354,AISAbdmPlvScoreCOBRIT,Abbreviated Injury Scale abdomen and pelvic contents score - COBRIT,Unique Data Element,Score for abdomen and pelvic contents measured by Abbreviated Injury Scale - COBRIT,Score for abdomen and pelvic contents measured by Abbreviated Injury Scale - COBRIT,Alphanumeric,Single Pre-Defined Value Selected,,,,,0|1|2|3|4|5|6|Unknown,0=No injury documented|1=Minor|2=Moderate|3=Serious|4=Severe|5=Critical|6=Unsurvivable|Unknown,,,,,,2/6/2015,0.20948617
Abd_AIS,Abdominal AIS,title,Abd_AIS,Abdominal AIS,fb19405c-48f0-4305-b471-b1f1cdc3aea2,AISBodyRegionScore,Abbreviated injury scale body region score,Common Data Element,Score for the body region measured by Abbreviated Injury Scale,Score for the body region measured by Abbreviated Injury Scale,Numeric Values,Single Pre-Defined Value Selected,,,,,1|2|3|4|5|6|9,"Minor: no treatment needed|Moderate: requires only outpatient treatment|Serious: requires non-ICU hospital admission|Severe: requires ICU observation and/or basic treatment|Critical: requires intubation, mechanical ventilation or vasopressors for blood pressure support|Maximal: not survivable|Not possible to assign (in NINDS this is 'unknown')",,,,Score for the body region measured by Abbreviated injury scale (AIS),,9/11/2017,0.08921148
